"Breast Cancer"
"Stage Distribution of SEER Incidence Cases, 2007-2016"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Percent of diagnoses"
Female,"All Races (includes Hispanic)","Ages 75+",Unstaged,5.2916
Female,"All Races (includes Hispanic)","Ages < 20",Localized,66.6667
Female,"All Races (includes Hispanic)","Ages < 20",Regional,19.6970
Female,"All Races (includes Hispanic)","Ages < 20",Distant,6.0606
Female,"All Races (includes Hispanic)","Ages < 20",Unstaged,7.5758
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages",Localized,59.9390
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages",Regional,31.5950
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages",Distant,6.5019
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages",Unstaged,1.9641
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Localized,51.0057
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Regional,39.9425
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Distant,6.8966
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Unstaged,2.1552
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Localized,61.8590
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Regional,30.9295
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Distant,6.0096
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Unstaged,1.2019
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Localized,63.7265
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Regional,26.6601
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Distant,6.8385
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Unstaged,2.7750
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Localized,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Regional,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Distant,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Unstaged,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Localized,46.3542
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Regional,45.3125
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Distant,5.7292
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Unstaged,2.6042
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Localized,59.2466
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Regional,32.9338
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Distant,6.3927
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Unstaged,1.4269
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Localized,64.5991
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Regional,27.6853
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Distant,5.9002
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Unstaged,1.8154
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Localized,62.0690
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Regional,24.7126
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Distant,8.6207
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Unstaged,4.5977
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Localized,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Regional,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Distant,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Unstaged,-
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages",Localized,64.4821
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages",Regional,28.8259
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages",Distant,4.7555
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages",Unstaged,1.9365
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Localized,59.5433
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Regional,34.6892
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Distant,4.2527
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Unstaged,1.5148
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Localized,64.5969
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Regional,28.6087
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Distant,5.1021
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Unstaged,1.6923
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Localized,69.0984
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Regional,23.4495
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Distant,4.7949
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Unstaged,2.6572
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Localized,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Regional,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Distant,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Unstaged,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Localized,52.1964
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Regional,40.1892
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Distant,6.0149
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Unstaged,1.5995
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Localized,63.6537
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Regional,30.1427
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Distant,4.5854
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Unstaged,1.6182
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Localized,70.1257
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Regional,23.7476
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Distant,4.2852
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Unstaged,1.8415
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Localized,67.4217
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Regional,22.9630
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Distant,5.6268
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Unstaged,3.9886
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Localized,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Regional,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Distant,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Unstaged,-
Female,"Black (includes Hispanic)","All Ages",Localized,55.3225
Female,"Black (includes Hispanic)","All Ages",Regional,33.6603
Female,"Black (includes Hispanic)","All Ages",Distant,8.4558
Female,"Black (includes Hispanic)","All Ages",Unstaged,2.5615
Female,"Black (includes Hispanic)","Ages < 50",Localized,48.4134
Female,"Black (includes Hispanic)","Ages < 50",Regional,41.2385
Female,"Black (includes Hispanic)","Ages < 50",Distant,8.3109
Female,"Black (includes Hispanic)","Ages < 50",Unstaged,2.0372
Female,"Black (includes Hispanic)","Ages 50-64",Localized,55.7103
Female,"Black (includes Hispanic)","Ages 50-64",Regional,33.8289
Female,"Black (includes Hispanic)","Ages 50-64",Distant,8.7644
Female,"Black (includes Hispanic)","Ages 50-64",Unstaged,1.6964
Female,"Black (includes Hispanic)","Ages 65+",Localized,59.7347
Female,"Black (includes Hispanic)","Ages 65+",Regional,28.1591
Female,"Black (includes Hispanic)","Ages 65+",Distant,8.2136
Female,"Black (includes Hispanic)","Ages 65+",Unstaged,3.8927
Female,"Black (includes Hispanic)","Ages <15",Localized,-
Female,"Black (includes Hispanic)","Ages <15",Regional,-
Female,"Black (includes Hispanic)","Ages <15",Distant,-
Female,"Black (includes Hispanic)","Ages <15",Unstaged,-
Female,"Black (includes Hispanic)","Ages 15-39",Localized,41.6877
Female,"Black (includes Hispanic)","Ages 15-39",Regional,45.2750
Female,"Black (includes Hispanic)","Ages 15-39",Distant,10.6511
Female,"Black (includes Hispanic)","Ages 15-39",Unstaged,2.3862
Female,"Black (includes Hispanic)","Ages 40-64",Localized,54.1949
Female,"Black (includes Hispanic)","Ages 40-64",Regional,35.6927
Female,"Black (includes Hispanic)","Ages 40-64",Distant,8.3493
Female,"Black (includes Hispanic)","Ages 40-64",Unstaged,1.7631
Female,"Black (includes Hispanic)","Ages 65-74",Localized,61.5373
Female,"Black (includes Hispanic)","Ages 65-74",Regional,28.6906
Female,"Black (includes Hispanic)","Ages 65-74",Distant,7.5716
Female,"Black (includes Hispanic)","Ages 65-74",Unstaged,2.2006
Female,"Black (includes Hispanic)","Ages 75+",Localized,57.3036
Female,"Black (includes Hispanic)","Ages 75+",Regional,27.4422
Female,"Black (includes Hispanic)","Ages 75+",Distant,9.0794
Female,"Black (includes Hispanic)","Ages 75+",Unstaged,6.1748
Female,"Black (includes Hispanic)","Ages < 20",Localized,70.0000
Female,"Black (includes Hispanic)","Ages < 20",Regional,10.0000
Female,"Black (includes Hispanic)","Ages < 20",Distant,10.0000
Female,"Black (includes Hispanic)","Ages < 20",Unstaged,10.0000
Female,"Hispanic (any race)","All Ages",Localized,58.0681
Female,"Hispanic (any race)","All Ages",Regional,33.9313
Female,"Hispanic (any race)","All Ages",Distant,5.7045
Female,"Hispanic (any race)","All Ages",Unstaged,2.2961
Female,"Hispanic (any race)","Ages < 50",Localized,50.4266
Female,"Hispanic (any race)","Ages < 50",Regional,41.9094
Female,"Hispanic (any race)","Ages < 50",Distant,5.6230
Female,"Hispanic (any race)","Ages < 50",Unstaged,2.0410
Female,"Hispanic (any race)","Ages 50-64",Localized,59.2769
Female,"Hispanic (any race)","Ages 50-64",Regional,33.3354
Female,"Hispanic (any race)","Ages 50-64",Distant,5.6353
Female,"Hispanic (any race)","Ages 50-64",Unstaged,1.7524
Female,"Hispanic (any race)","Ages 65+",Localized,64.3511
Female,"Hispanic (any race)","Ages 65+",Regional,26.5412
Female,"Hispanic (any race)","Ages 65+",Distant,5.8738
Female,"Hispanic (any race)","Ages 65+",Unstaged,3.2338
Female,"Hispanic (any race)","Ages <15",Localized,-
Female,"Hispanic (any race)","Ages <15",Regional,-
Female,"Hispanic (any race)","Ages <15",Distant,-
Female,"Hispanic (any race)","Ages <15",Unstaged,-
Female,"Hispanic (any race)","Ages 15-39",Localized,43.1653
Female,"Hispanic (any race)","Ages 15-39",Regional,47.0747
Female,"Hispanic (any race)","Ages 15-39",Distant,7.3740
Female,"Hispanic (any race)","Ages 15-39",Unstaged,2.3861
Female,"Hispanic (any race)","Ages 40-64",Localized,57.0348
Female,"Hispanic (any race)","Ages 40-64",Regional,35.7756
Female,"Hispanic (any race)","Ages 40-64",Distant,5.3796
Female,"Hispanic (any race)","Ages 40-64",Unstaged,1.8100
Female,"Hispanic (any race)","Ages 65-74",Localized,65.4020
Female,"Hispanic (any race)","Ages 65-74",Regional,27.2269
Female,"Hispanic (any race)","Ages 65-74",Distant,5.3242
Female,"Hispanic (any race)","Ages 65-74",Unstaged,2.0468
Female,"Hispanic (any race)","Ages 75+",Localized,62.7688
Female,"Hispanic (any race)","Ages 75+",Regional,25.5088
Female,"Hispanic (any race)","Ages 75+",Distant,6.7012
Female,"Hispanic (any race)","Ages 75+",Unstaged,5.0211
Female,"Hispanic (any race)","Ages < 20",Localized,-
Female,"Hispanic (any race)","Ages < 20",Regional,-
Female,"Hispanic (any race)","Ages < 20",Distant,-
Female,"Hispanic (any race)","Ages < 20",Unstaged,-
Female,"Non-Hispanic White","All Ages",Localized,66.0705
Female,"Non-Hispanic White","All Ages",Regional,26.4562
Female,"Non-Hispanic White","All Ages",Distant,5.2940
Female,"Non-Hispanic White","All Ages",Unstaged,2.1793
Female,"Non-Hispanic White","Ages < 50",Localized,58.5537
Female,"Non-Hispanic White","Ages < 50",Regional,35.7126
Female,"Non-Hispanic White","Ages < 50",Distant,4.5771
Female,"Non-Hispanic White","Ages < 50",Unstaged,1.1566
Female,"Non-Hispanic White","Ages 50-64",Localized,65.7656
Female,"Non-Hispanic White","Ages 50-64",Regional,27.8038
Female,"Non-Hispanic White","Ages 50-64",Distant,5.1818
Female,"Non-Hispanic White","Ages 50-64",Unstaged,1.2489
Female,"Non-Hispanic White","Ages 65+",Localized,69.0176
Female,"Non-Hispanic White","Ages 65+",Regional,22.0873
Female,"Non-Hispanic White","Ages 65+",Distant,5.6384
Female,"Non-Hispanic White","Ages 65+",Unstaged,3.2567
Female,"Non-Hispanic White","Ages <15",Localized,-
Female,"Non-Hispanic White","Ages <15",Regional,-
Female,"Non-Hispanic White","Ages <15",Distant,-
Female,"Non-Hispanic White","Ages <15",Unstaged,-
Female,"Non-Hispanic White","Ages 15-39",Localized,49.1726
Female,"Non-Hispanic White","Ages 15-39",Regional,43.0793
Female,"Non-Hispanic White","Ages 15-39",Distant,6.3493
Female,"Non-Hispanic White","Ages 15-39",Unstaged,1.3988
Female,"Non-Hispanic White","Ages 40-64",Localized,64.4683
Female,"Non-Hispanic White","Ages 40-64",Regional,29.4359
Female,"Non-Hispanic White","Ages 40-64",Distant,4.8895
Female,"Non-Hispanic White","Ages 40-64",Unstaged,1.2063
Female,"Non-Hispanic White","Ages 65-74",Localized,71.2074
Female,"Non-Hispanic White","Ages 65-74",Regional,22.2255
Female,"Non-Hispanic White","Ages 65-74",Distant,5.0991
Female,"Non-Hispanic White","Ages 65-74",Unstaged,1.4680
Female,"Non-Hispanic White","Ages 75+",Localized,66.6484
Female,"Non-Hispanic White","Ages 75+",Regional,21.9378
Female,"Non-Hispanic White","Ages 75+",Distant,6.2219
Female,"Non-Hispanic White","Ages 75+",Unstaged,5.1919
Female,"Non-Hispanic White","Ages < 20",Localized,55.5556
Female,"Non-Hispanic White","Ages < 20",Regional,33.3333
Female,"Non-Hispanic White","Ages < 20",Distant,7.4074
Female,"Non-Hispanic White","Ages < 20",Unstaged,3.7037
Female,"White (includes Hispanic)","All Ages",Localized,65.1486
Female,"White (includes Hispanic)","All Ages",Regional,27.3419
Female,"White (includes Hispanic)","All Ages",Distant,5.3388
Female,"White (includes Hispanic)","All Ages",Unstaged,2.1707
Female,"White (includes Hispanic)","Ages < 50",Localized,56.9728
Female,"White (includes Hispanic)","Ages < 50",Regional,36.9650
Female,"White (includes Hispanic)","Ages < 50",Distant,4.7767
Female,"White (includes Hispanic)","Ages < 50",Unstaged,1.2855
Female,"White (includes Hispanic)","Ages 50-64",Localized,64.9755
Female,"White (includes Hispanic)","Ages 50-64",Regional,28.4942
Female,"White (includes Hispanic)","Ages 50-64",Distant,5.2387
Female,"White (includes Hispanic)","Ages 50-64",Unstaged,1.2916
Female,"White (includes Hispanic)","Ages 65+",Localized,68.6651
Female,"White (includes Hispanic)","Ages 65+",Regional,22.4451
Female,"White (includes Hispanic)","Ages 65+",Distant,5.6511
Female,"White (includes Hispanic)","Ages 65+",Unstaged,3.2387
Female,"White (includes Hispanic)","Ages <15",Localized,-
Female,"White (includes Hispanic)","Ages <15",Regional,-
Female,"White (includes Hispanic)","Ages <15",Distant,-
Female,"White (includes Hispanic)","Ages <15",Unstaged,-
Female,"White (includes Hispanic)","Ages 15-39",Localized,47.7020
Female,"White (includes Hispanic)","Ages 15-39",Regional,44.1385
Female,"White (includes Hispanic)","Ages 15-39",Distant,6.6107
Female,"White (includes Hispanic)","Ages 15-39",Unstaged,1.5487
Female,"White (includes Hispanic)","Ages 40-64",Localized,63.4355
Female,"White (includes Hispanic)","Ages 40-64",Regional,30.3398
Female,"White (includes Hispanic)","Ages 40-64",Distant,4.9563
Female,"White (includes Hispanic)","Ages 40-64",Unstaged,1.2684
Female,"White (includes Hispanic)","Ages 65-74",Localized,70.6877
Female,"White (includes Hispanic)","Ages 65-74",Regional,22.6967
Female,"White (includes Hispanic)","Ages 65-74",Distant,5.1144
Female,"White (includes Hispanic)","Ages 65-74",Unstaged,1.5013
Female,"White (includes Hispanic)","Ages 75+",Localized,66.4205
Female,"White (includes Hispanic)","Ages 75+",Regional,22.1660
Female,"White (includes Hispanic)","Ages 75+",Distant,6.2466
Female,"White (includes Hispanic)","Ages 75+",Unstaged,5.1669
Female,"White (includes Hispanic)","Ages < 20",Localized,64.1026
Female,"White (includes Hispanic)","Ages < 20",Regional,25.6410
Female,"White (includes Hispanic)","Ages < 20",Distant,5.1282
Female,"White (includes Hispanic)","Ages < 20",Unstaged,5.1282
Male,"All Races (includes Hispanic)","All Ages",Localized,45.4799
Male,"All Races (includes Hispanic)","All Ages",Regional,42.9516
Male,"All Races (includes Hispanic)","All Ages",Distant,8.2758
Male,"All Races (includes Hispanic)","All Ages",Unstaged,3.2927
Male,"All Races (includes Hispanic)","Ages < 50",Localized,44.8399
Male,"All Races (includes Hispanic)","Ages < 50",Regional,40.2135
Male,"All Races (includes Hispanic)","Ages < 50",Distant,11.9217
Male,"All Races (includes Hispanic)","Ages < 50",Unstaged,3.0249
Male,"All Races (includes Hispanic)","Ages 50-64",Localized,42.5592
Male,"All Races (includes Hispanic)","Ages 50-64",Regional,45.5450
Male,"All Races (includes Hispanic)","Ages 50-64",Distant,9.1943
Male,"All Races (includes Hispanic)","Ages 50-64",Unstaged,2.7014
Male,"All Races (includes Hispanic)","Ages 65+",Localized,47.0588
Male,"All Races (includes Hispanic)","Ages 65+",Regional,41.9995
Male,"All Races (includes Hispanic)","Ages 65+",Distant,7.3106
Male,"All Races (includes Hispanic)","Ages 65+",Unstaged,3.6311
Male,"All Races (includes Hispanic)","Ages <15",Localized,-
Male,"All Races (includes Hispanic)","Ages <15",Regional,-
Male,"All Races (includes Hispanic)","Ages <15",Distant,-
Male,"All Races (includes Hispanic)","Ages <15",Unstaged,-
Male,"All Races (includes Hispanic)","Ages 15-39",Localized,40.7080
Male,"All Races (includes Hispanic)","Ages 15-39",Regional,40.7080
Male,"All Races (includes Hispanic)","Ages 15-39",Distant,15.9292
Male,"All Races (includes Hispanic)","Ages 15-39",Unstaged,2.6549
Male,"All Races (includes Hispanic)","Ages 40-64",Localized,43.1196
Male,"All Races (includes Hispanic)","Ages 40-64",Regional,44.6052
Male,"All Races (includes Hispanic)","Ages 40-64",Distant,9.4996
Male,"All Races (includes Hispanic)","Ages 40-64",Unstaged,2.7756
Male,"All Races (includes Hispanic)","Ages 65-74",Localized,47.5978
Male,"All Races (includes Hispanic)","Ages 65-74",Regional,41.8524
Male,"All Races (includes Hispanic)","Ages 65-74",Distant,8.0733
Male,"All Races (includes Hispanic)","Ages 65-74",Unstaged,2.4765
Male,"All Races (includes Hispanic)","Ages 75+",Localized,46.5436
Male,"All Races (includes Hispanic)","Ages 75+",Regional,42.1402
Male,"All Races (includes Hispanic)","Ages 75+",Distant,6.5814
Male,"All Races (includes Hispanic)","Ages 75+",Unstaged,4.7348
Male,"All Races (includes Hispanic)","Ages < 20",Localized,-
Male,"All Races (includes Hispanic)","Ages < 20",Regional,-
Male,"All Races (includes Hispanic)","Ages < 20",Distant,-
Male,"All Races (includes Hispanic)","Ages < 20",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","All Ages",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","All Ages",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","All Ages",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","All Ages",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Unstaged,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Localized,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Regional,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Distant,-
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Unstaged,-
Male,"Asian / Pacific Islander (includes Hispanic)","All Ages",Localized,48.1356
Male,"Asian / Pacific Islander (includes Hispanic)","All Ages",Regional,38.6441
Male,"Asian / Pacific Islander (includes Hispanic)","All Ages",Distant,10.1695
Male,"Asian / Pacific Islander (includes Hispanic)","All Ages",Unstaged,3.0508
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Localized,50.0000
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Regional,27.5000
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Distant,20.0000
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Unstaged,2.5000
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Localized,41.4894
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Regional,48.9362
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Distant,8.5106
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Unstaged,1.0638
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Localized,51.5528
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Regional,35.4037
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Distant,8.6957
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Unstaged,4.3478
Male,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Localized,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Regional,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Distant,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Unstaged,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Localized,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Regional,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Distant,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Unstaged,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Localized,45.8333
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Regional,42.5000
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Distant,10.8333
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Unstaged,0.8333
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Localized,54.6512
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Regional,32.5581
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Distant,10.4651
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Unstaged,2.3256
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Localized,48.0000
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Regional,38.6667
